category,sourcerow5type_option,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
4D,MANFERT,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,MANFERT,EM,N2O,kt,BE,3.138966105,3.193819444,3.188295384,3.260587833,3.262228823,3.326095855,3.388194718,3.37470237,3.380548681,3.392752181,3.157326942,3.013225074,2.92315492,2.76054952,2.765952888,2.678822127,2.625502392,2.621686787,2.527798725,2.528735371,2.545974251,2.465819111,2.455025992,2.455025992
4D,MANFERT,EM,N2O,kt,DK,3.363353198,3.337517104,3.349049267,3.377477203,3.252989498,3.146603904,3.145170624,3.120209692,3.1752969,3.150139598,3.093610366,3.168381772,3.245629841,3.237479361,3.302509794,3.335854114,3.231539075,3.408809062,3.343807488,3.244560941,3.267203152,3.271397824,3.250665472,3.275296839
4D,MANFERT,IEF,N2O,kgN2O-N/kgN,BE,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
4D,MANFERT,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,MANFERT,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,MANFERT,AD,-999,kg N/year,BE,159801910.8,162594444.4,162313219.5,165993562.4,166077103.7,169328516.2,172489912.9,171803029.7,172100660.1,172721929.2,160736644.3,153400549.2,148815159.6,140537066.5,140812147,136376399.2,133661940,133467691,128687935.1,128735618.9,129613234.6,125532609.3,124983141.4,124983141.4
4D,MANFERT,AD,-999,kg N/year,DK,214031567.1,212387452.1,213121317,214930367.5,207008422.6,200238430.2,200147221.5,198558798.6,202064348.2,200463428.9,196866114.2,201624294.6,206540080.8,206021413.9,210159714.1,212281625.4,205643395.7,216924213,212787749.2,206472059.9,207912927.8,208179861.5,206860530,208427980.7
4D,CRES,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,CRES,EM,N2O,kt,BE,1.105029422,1.115441352,1.186166549,1.206346799,1.136774973,1.116327481,1.216201531,1.257633919,1.178005172,1.330401678,1.227873427,1.265877795,1.307160423,1.297200367,1.344533014,1.300058622,1.134186269,1.198816566,1.147870426,1.203582385,1.139216075,1.28789365,1.089384852,1.089384852
4D,CRES,EM,N2O,kt,DK,1.910322857,1.817105714,1.377247143,1.588242857,1.540094286,1.766112857,1.786525714,1.870094286,1.878831429,1.750272857,1.834564286,1.856674286,1.750461429,1.831688571,1.845705714,1.973447143,1.947911429,1.9338,2.059592857,2.324158571,2.092027143,2.19065,2.214174286,2.149242857
4D,CRES,IEF,N2O,kgN2O-N/kgN,BE,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
4D,CRES,IEF,N2O,kgN2O-N/kgN,DK,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4D,CRES,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,CRES,AD,-999,kg N/year,BE,56256043.3,56786105.2,60386660.67,61414018.87,57872180.44,56831217.23,61915714.32,64024999.49,59971172.39,67729539.97,62509919.94,64444687.73,66546348.82,66039291.42,68448953.46,66184802.59,57740391.9,61030661.55,58437039.85,61273285.06,57996454.75,65565494.93,55459592.45,55459592.45
4D,CRES,AD,-999,kg N/year,DK,121566000,115634000,87643000,101070000,98006000,112389000,113688000,119006000,119562000,111381000,116745000,118152000,111393000,116562000,117454000,125583000,123958000,123060000,131065000,147901000,133129000,139405000,140902000,136770000
4D,HIST,AREA,-999,ha/year,BE,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520
4D,HIST,AREA,-999,ha/year,DK,97727,96365,95003,93641,92278,90915,89553,88191,86829,85467,84105,82741,81379,80017,78655,77293,75931,74568,73205,71843,70481,69458,68057,66570
4D,HIST,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,HIST,EM,N2O,kt,BE,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168,0.03168
4D,HIST,EM,N2O,kt,DK,1.8210214,1.795641571,1.770261743,1.744881914,1.7194892,1.694088943,1.668709114,1.643329286,1.617949457,1.592569629,1.5671898,1.541776657,1.516396829,1.491017,1.465637171,1.440257343,1.414877514,1.3894848,1.364084543,1.338704714,1.313324886,1.292426457,1.260788886,1.233134571
4D,HIST,-999,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSINORGFERT,INFOEF,N2O,-999,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4D,SOILSINORGFERT,EM,N2O,kt,BE,3.937749811,3.880368144,3.68076493,3.468476521,3.573754985,3.740688677,3.39344498,3.363913009,3.330500096,3.227596864,3.132627352,3.021040103,3.117871408,2.961441696,2.935186627,2.808541873,2.791792449,2.700842898,2.558530852,2.721996065,2.813786769,2.776021875,2.672098466,2.672098466
