variable_UID,name
C70F1921-5ADB-43BF-9300-8F1D77F6469D,[Public Electricity and Heat Production][Biomass][Emissions][CH4][kt][no source][no method][no target][no option][no type]
81AC4B79-B553-45FB-94B5-A37790B77381,[Public Electricity and Heat Production][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DB95387B-8A72-4149-82CC-458DD6A87FE0,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
7B4E172E-C192-4039-AFB3-01106C020747,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
4BEBC907-E0AB-42C2-B555-B8B0D01C86BD,[Public Electricity and Heat Production][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
9062EC16-B947-4446-A54F-5BA3A10A5442,[Public Electricity and Heat Production][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
555CDC53-5E74-47FE-B7AC-28707976FEA5,[Public Electricity and Heat Production][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
5346155A-8D21-416F-ABBA-67FC088C3553,[Public Electricity and Heat Production][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
DE4B7AE5-C1ED-422B-B6B8-D93241282B75,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
2B888230-16E5-4F99-804D-5295B042A4CF,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
63711EB2-4831-43AC-B5AA-E61C57B9EE55,[Public Electricity and Heat Production][Other Fossil Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
E9E6FFC5-840D-48C5-BD83-805F155D515E,[Public Electricity and Heat Production][Peat][Emissions][CH4][kt][no source][no method][no target][no option][no type]
9D1780D9-D162-4DEB-A5F4-1B0BA451BB00,[Public Electricity and Heat Production][Peat][Emissions][CO2][kt][no source][no method][no target][no option][no type]
77DD68A1-47B2-42E9-8514-425A04D2B542,[Public Electricity and Heat Production][Peat][Emissions][N2O][kt][no source][no method][no target][no option][no type]
E4721B22-DAD2-4D85-8EE3-92A15D974FAC,[Public Electricity and Heat Production][Solid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
006E643A-1F14-4013-A88E-41169A406067,[Public Electricity and Heat Production][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
31FBA9CB-03B3-413C-9429-D39BD6ECEC21,[Public Electricity and Heat Production][Solid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
A06B43B0-93C1-47F6-BBAC-4314EE19A341,[Petroleum Refining][Biomass][Emissions][N2O][kt][no source][no method][no target][no option][no type]
8E274FAA-5DC6-44B6-BBAE-43CB0AD0BFCE,[Petroleum Refining][Gaseous Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
D3B97C0C-1746-4EF7-B7C3-051230F4CE64,[Petroleum Refining][Gaseous Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
255FAC0A-7888-40D5-A6CC-C5D95BCDB8C5,[Petroleum Refining][Gaseous Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
30522BD2-EB04-4C6E-BB59-835FFB622676,[Petroleum Refining][Liquid Fuels][Emissions][CH4][kt][no source][no method][no target][no option][no type]
709E2A9E-06F1-4192-8125-E743F1ABAAB4,[Petroleum Refining][Liquid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
1ABA5D86-DDF5-424D-9405-2B2FE02AC3EC,[Petroleum Refining][Liquid Fuels][Emissions][N2O][kt][no source][no method][no target][no option][no type]
22F123BF-A13B-4D9F-997D-21310AF745E2,[Petroleum Refining][Other Fossil Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
DAB4604A-380A-4B61-B702-CEB66A379E59,[Petroleum Refining][Solid Fuels][Emissions][CO2][kt][no source][no method][no target][no option][no type]
