category,source,measure,gas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1A,FUEL,EM,GHGa,GgCO2eq,AT,55088.64072,58975.35738,54021.65243,54443.64484,54470.77966,57319.20971,61180.42477,60210.30816,60171.76192,58940.26602,58917.82568,63028.89718,64168.79674,70230.25474,70684.02898,71383.60263,68118.31693,64999.95151,64457.1681,60150.41429,64070.7129,61719.48984,59367.33599
1A,FUEL,EM,GHGa,GgCO2eq,BE,111400.3981,114303.7803,112931.2239,111961.2101,115269.2851,115806.8523,120605.8413,114580.3461,120769.4843,114938.2402,116348.4555,116885.2934,115558.7149,118864.5602,119278.5859,115661.9497,112204.6331,107669.366,111004.4036,101381.6726,107833.9403,97641.22921,94973.95753
1A,FUEL,EM,GHGa,GgCO2eq,BG,72980.08295,55402.60044,52902.61062,53289.44734,50378.99371,50727.6842,51466.65072,48901.22238,47863.67999,41956.71105,40697.7,44502.53795,42021.11407,45723.24364,44601.05325,45179.69296,46395.96998,49948.1268,49133.00775,43265.06235,45292.29596,50393.33245,45546.67218
1A,FUEL,EM,GHGa,GgCO2eq,CY,3857.991867,4349.957724,4638.356257,4827.300594,5032.756799,4929.325839,5215.17563,5349.650358,5691.417017,5955.1713,6182.375914,6075.909676,6238.039324,6615.768423,6777.318491,6946.333306,7114.845617,7401.120756,7564.652458,7467.611052,7234.855464,6987.326901,6525.563782
1A,FUEL,EM,GHGa,GgCO2eq,CZ,147789.9288,141539.3694,125840.9708,124564.8675,114769.4024,116744.0066,120538.5509,116932.8883,110606.008,105467.5027,114427.9087,115054.8428,111747.2464,114342.1591,114927.709,115451.9294,115910.7756,115614.5739,110971.1226,105988.8132,109052.727,105275.214,102402.1429
1A,FUEL,EM,GHGa,GgCO2eq,DE,989040.9448,954139.1282,907117.1631,898225.7991,879127.8168,877880.469,900291.6035,869163.4067,862031.744,835840.2138,834932.7331,856797.7169,842111.6821,839588.0772,824996.7643,806874.7957,817646.7779,793924.2272,798500.8774,742525.356,782068.7074,762785.5664,775400.5884
1A,FUEL,EM,GHGa,GgCO2eq,DK,51809.73277,62054.50246,56189.88138,58635.88321,62677.30798,59713.43588,73018.87858,63293.89234,59445.02404,56284.43908,52288.23942,53933.90647,53640.258,58884.89196,53191.32867,49776.05447,57719.36614,52896.13493,49844.81281,48016.80276,48367.64602,43351.27585,38683.5237
1A,FUEL,EM,GHGa,GgCO2eq,EE,35841.59715,32847.68204,23738.12593,18581.1963,19175.00326,17526.38146,18266.21171,17781.50214,16134.84441,15032.194,14679.57192,15029.95729,14742.26095,16501.18478,16610.61873,15905.71436,15266.9612,18152.06669,16640.13777,14052.16409,17686.62269,18180.24943,16797.26158
1A,FUEL,EM,GHGa,GgCO2eq,ES,207609.5031,218164.5247,228599.6572,220533.2254,230647.4715,244586.2185,232418.6212,244186.64,250783.1516,274038.718,285195.6888,286641.7029,305688.4823,309700.3638,325893.3977,340377.5727,330943.2075,339570.9723,312261.1465,278066.6296,262658.8448,265142.1243,261951.2099
1A,FUEL,EM,GHGa,GgCO2eq,FI,54263.93349,52806.68774,52061.79461,53951.98057,59279.56954,55811.62609,61522.95489,59900.95246,56640.50014,56130.00777,54282.80701,59536.63413,62173.47472,69783.22001,65662.97593,53827.0133,65137.32773,63033.69709,54545.61364,52519.04563,60289.73435,53131.73915,47609.6359
