"","meastype","gas","unit","sector_number","category","method","classification","source","target","type","option","notation","datasource","measure","variableUID"
"1","EM","CH4","kt","3.B.1.1","Cattle","","CH4 Emissions","","","","","","nir","Emissions","eugirp3B110CattlEM000000000000CHA000"
"2","EM","CH4","kt","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Emissions","eugirp3A100CattlEM000000000000CHA000"
"3","EM","N2O","kt","3.B.2.1","Cattle","","N2O and NMVOC Emissions","","","","","","nir","Emissions","eugirp3B210CattlEM000000000000N2A000"
"4","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Composting","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Com000noA000"
"5","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Digesters","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Dig000noA000"
"6","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Liquid system","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Liq000noA000"
"7","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Other","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Oth000noA000"
"8","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Pasture  range and paddock","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Pas000noA000"
"9","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Solid storage and dry lot","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Sol000noA000"
"10","POP","no gas","1000s","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Population","eugirp3A100CattlPOP00000000000noA000"
"11","EM","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","","","","","","nir","Total N excreted","eugirp3B210CattlEM000000000000noA000"
"15","EM","NMVOC","kt","3.B.2.1","Cattle","","N2O and NMVOC Emissions","","","","","","nir","Emissions","eugirp3B210CattlEM000000000000NMA000"
"39","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Daily spread","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Dai000noA000"
"134","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Anaerobic lagoon","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Ana000noA000"
"270","NEXC","no gas","kg N/year","3.B.2.1","Cattle","","N2O and NMVOC Emissions","Burned for fuel or as waste","","","","","nir","Nitrogen excretion per MMS","eugirp3B210CattlNEX00000Bur000noA000"
"286","IEF","CH4","kg/head/year","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Implied emission factor","eugirp3A100CattlIEF00000000000CHA000"
"317","WEIGHT","no gas","kg","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Weight","eugirp3A100CattlWEI00000000000CHA000"
"346","YM","no gas","%","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Average CH4 conversion rate","eugirp3A100CattlYM000000000000CHA000"
"377","GE","no gas","MJ/day","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Gross energy","eugirp3A100CattlGE000000000000CHA000"
"403","GEav","no gas","MJ/head/day","3.A.1","Cattle","","Enteric Fermentation","","","","","","nir","Average gross energy intake","eugirp3A100CattlGEa00000000000CHA000"
"434","FEEDING","no gas","","3.A.1","Cattle","","Enteric Fermentation","","","","","stall","nir","Feeding situation","eugirp3A100CattlFEE00000000000CHA000"
