,meastype,gas,unit,sector_number,category,classification,source,target,type,subcategory,region,tdetail,mmsys,IPCC2006,Reference 2006,IPCC1997,Reference 1997,option,measure,variableUID,,,
251410,B0,no gas,m^3/kg VS,3.B.1.1,Bulls,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),B20A9CF5-080D-4867-BC71-EEF91C7E9B51,,,
252010,B0,no gas,m^3/kg VS,3.B.1.1,Bulls under 2 years,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),FA9F9160-37F2-4628-A799-36E1267F0775,,,
25262,B0,no gas,m^3/kg VS,3.B.1.1,Calves,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),AB125390-7234-4147-BA0B-B5D5386BD194,,,
279711,B0,no gas,m^3/kg VS,3.B.1.1,Cattle,CH4 Emissions,,,,,Western Europe,,,,,,,,CH4 producing potential (average),EUGIRP20160202-20160204-1616.24-2wz1gT,,,
279710,B0,no gas,m^3/kg VS,3.B.1.1,Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,0.24,Table 10A.4,0.24,Table B.1,,CH4 producing potential (average),4D980F78-A3CE-439E-86D9-552E90E4E1B4,,,
290210,B0,no gas,m^3/kg VS,3.B.1.1,Dairy Cows,CH4 Emissions,,,,,Western Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),5B4C21AC-5836-4C74-8528-A0E3C35A3236,,,
29395,B0,no gas,m^3/kg VS,3.B.1.1,Growing Cattle,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option B,CH4 producing potential (average),83E1D631-398C-4BD5-BD2C-B23730A77728,,,
2999,B0,no gas,m^3/kg VS,3.B.1.1,Mature Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option B,CH4 producing potential (average),CD67F8E6-0BB1-454C-AB58-17FCF6FAEC6B,,,
320710,B0,no gas,m^3/kg VS,3.B.1.1,Non-Dairy Cattle,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,,CH4 producing potential (average),3F509E60-E5F5-45CF-B2D2-39C3E15AC635,,,
332010,B0,no gas,m^3/kg VS,3.B.1.1,Other Cattle.Dairy cattle,CH4 Emissions,,,,,Western Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),BE77ED7A-3669-4E80-9044-D8A084E04F31,,,
33293,B0,no gas,m^3/kg VS,3.B.1.1,Other Cattle.Non-dairy cattle,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),10B6BA1B-8C95-43C4-9E65-CE5980965C32,,,
334210,B0,no gas,m^3/kg VS,3.B.1.1,Other cows,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),9EE6326B-1B70-4736-A076-C8C043831290,,,
336310,B0,no gas,m^3/kg VS,3.B.1.1,Other Mature Cattle,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option B,CH4 producing potential (average),809BDB70-1836-43C3-96EF-52AF491C3BAE,,,
339510,B0,no gas,m^3/kg VS,3.B.1.1,Suckler Cows,CH4 Emissions,,,,,Western Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),B75B0CC4-848D-4EFD-89E1-51BED21EE563,,,
340110,B0,no gas,m^3/kg VS,3.B.1.1,Young Cattle,CH4 Emissions,,,,,Western Europe,,,0.18,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),,,,
