#Dimension type,Dimension instance name,Acronym
CATEGORY,1.AA-Fuel Combustion - Sectoral Approach,1A
CATEGORY,1.B-Fugitive Emissions from Fuels,1B
CATEGORY,2.A-Mineral Products,2A
CATEGORY,2.B-Chemical Industry,2B
CATEGORY,2.C-Metal Production,2C
CATEGORY,2.D-Other Production,2D
CATEGORY,2.E-Production of Halocarbons and SF6,2E
CATEGORY,2.F-Consumption of Halocarbons and SF6,2F
CATEGORY,2.G-Other (please specify),2G
CATEGORY,3.A-Paint Application,3A
CATEGORY,3.B-Degreasing and Dry Cleaning,3B
CATEGORY,"3.C-Chemical Products, Manufacture and Processing",3C
CATEGORY,3.D-Other,3D
CATEGORY,4-Agriculture,4
CATEGORY,4.A-Enteric Fermentation,4A
CATEGORY,4.B-Manure Management,4B
CATEGORY,4.C.1.1-Continuously Flooded,4C11
CATEGORY,4.C.1.2.1-Single Aeration,4C121
CATEGORY,4.C.1.2.2-Multiple Aeration,4C122
CATEGORY,4.C.1.2-Intermittently Flooded,4C12
CATEGORY,4.C.1-Irrigated,4C1
CATEGORY,4.C.2.1-Flood Prone,4C21
CATEGORY,4.C.2.2-Drought Prone,4C22
CATEGORY,4.C.2-Rainfed,4C2
CATEGORY,4.C.3.1-Water Depth 50-100 cm,4C31
CATEGORY,4.C.3.2-Water Depth > 100 cm,4C32
CATEGORY,4.C.3-Deep Water,4C3
CATEGORY,4.C.4-Other (please specify),4C4
CATEGORY,4.C-Rice Cultivation,4C
CATEGORY,4.D.1.1-Synthetic Fertilizers,4D11
CATEGORY,4.D.1.2-Animal Manure Applied to Soils,4D12
CATEGORY,4.D.1.3-N-fixing Crops,4D13
CATEGORY,4.D.1.4-Crop Residue,4D14
CATEGORY,4.D.1.5-Cultivation of Histosols,4D15
CATEGORY,4.D.1.6-Other direct emissions (please specify),4D16
CATEGORY,4.D.1-Direct Soil Emissions,4D1
CATEGORY,"4.D.2-Pasture, Range and Paddock Manure",4D2
CATEGORY,4.D.3.1-Atmospheric Deposition,4D31
CATEGORY,4.D.3.2-Nitrogen Leaching and Run-off,4D32
CATEGORY,4.D.3-Indirect Emissions,4D3
CATEGORY,4.D.4-Other (please specify),4D4
CATEGORY,4.D-Agricultural Soils,4D
CATEGORY,4.E.1-specify ecological zone,#4E1
CATEGORY,4.E-Prescribed Burning of Savannas,4E
CATEGORY,4.F.1.1-Wheat,4F11
