dimension,acronym
# EU-GIRP (EU-Greenhouse gas Inventory Reporting Plots; eealocatorplots)
# File meta_data_dimensions.txt
# Created from the script eealocator_csv.bash on 20150330 14:37:1427719031
#         using the file meta_data_dimensions.csv
# Using EEA locator result file: EEA_GHG_MMR_locator_20150323.cub
#                   main script output: EEA_GHG_MMR_locator_20150323.cub_2015.csv
# Adrian Leip <adrian.leip@jrc.ec.europa.eu>
#
# Content of file: 
#   - dimensions extracted from the EEA-locator cube
#   - corresponding acronyms
#
"4(KP)",""
"Acrylonitrile",""
"Adipic Acid Production",""
"Aerosols",""
"Agricultural Soils","4D"
"Agriculture","3"
"Agriculture/Forestry/Fishing",""
"Aluminium Production",""
"Ammonia Production",""
"Anaerobic",""
"Anaerobic Digestion at Biogas Facilities",""
"Annual Change in Total Long-term C Storage",""
"Annual Change in Total Long-term C Storage in HWP Waste",""
"Biological Treatment of Solid Waste",""
"By-Product Emissions",""
"By-Product Production",""
"Calcium Carbide",""
"Caprolactam",""
"Caprolactam Glyoxal and Glyoxylic Acid Production",""
"Carbide Production",""
"Carbon Black",""
"Cars",""
"Cement Production",""
"Ceramics",""
"CH4 Emissions","CH4EM"
"Chemical Industry",""
"Chemicals",""
"Closed Cells",""
"CO2 Emissions","CO2EM"
"CO2 Transport and Storage",""
"Coal Mining and Handling",""
"Commercial Refrigeration",""
"Commercial/Institutional",""
"Contained",""
"Continuously Flooded","3C1a"
"Cropland",""
"Deep Water","3C3"
"Direct Reduced Iron",""
"Dolomite CaMg(CO3)2",""
"Domestic Aviation",""
"Domestic Navigation",""
"Domestic Refrigeration",""
"Drought Prone","3C2b"
"Electrical Equipment",""
"Electronics Industry",""
"Emissive",""
"Energy",""
"Energy Industries",""
"Enteric Fermentation","3A"
"Ethylene",""
"Ethylene Dichloride and Vinyl Chloride Monomer",""
"Ethylene Oxide",""
"Feedstocks reductants and other non-energy use of fuels",""
"Ferroalloys Production",""
"F-gases used in foundries",""
"Field Burning of Agricultural Residues","3F"
"Fire Protection",""
"Flaring",""
"Flood Prone","3C2a"
"Fluorochemical Production",""
"Foam Blowing Agents",""
"Food Processing Beverages and Tobacco",""
"Forest Land",""
"Forest land (specify ecological zone)",""
"Fuel Combustion - Reference Approach",""
"Fuel Combustion - Sectoral approach",""
"Fugitive Emissions",""
"Fugitive Emissions from Fuels",""
"Glass production",""
"Glyoxal",""
"Glyoxylic Acid",""
"Grassland",""
"Grassland (specify ecological zone)",""
"Harvested Wood Products",""
"Heat Transfer Fluid",""
"Heavy duty trucks and buses",""
"HWP Produced and Consumed Domestically",""
"HWP Produced and Exported",""
"Incineration and Open Burning of Waste",""
"Indirect N2O Emissions",""
"Industrial Processes and Product Use",""
"Industrial Refrigeration",""
"Injection",""
"Injection and Storage",""
"Integrated Circuit or Semiconductor",""
"Intermittently Flooded","3C1b"
"International Aviation",""
"International Bunkers",""
"International Navigation",""
"Iron and Steel",""
"Iron and Steel Production",""
"Irrigated","3C1"
"Land Use Land-Use Change and Forestry",""
"Lead Production",""
"Light duty trucks",""
"Lime Production",""
"Limestone CaCO3",""
"Liming","3G"
"Livestock",""
"Long-term Storage of C in Waste Disposal Sites",""
"Lubricant Use",""
"Magnesium Production",""
"Managed Waste Disposal Sites",""
"Manufacture of Solid Fuels and Other Energy Industries",""
"Manufacturing Industries and Construction",""
"Manure Management","3B"
"Medical Applications",""
"Metal Industry",""
"Metered Dose Inhalers",""
"Methanol",""
"Mineral Industry",""
"Mobile Air-Conditioning",""
"Motorcycles",""
"Multilateral Operations",""
"Multiple aeration","3C1b2"
"N2O and NMVOC Emissions",""
"N2O from Product Uses",""
"Natural Gas",""
"Nitric Acid Production",""
"Non-energy Products from Fuels and Solvent Use",""
"Non-Ferrous Metals",""
"Non-metallic minerals",""
"Non-metallurgical Magnesium Production",""
"Oil",""
"Oil and Natural Gas and Other Emissions from Energy Production",""
"Open Burning of Waste",""
"Open Cells",""
"Other aerosols",""
"Other agriculture emissions",""
"Other Applications",""
"Other Carbon-containing Fertilizers","3I"
"Other chemical industry",""
"Other CO2 transport and storage",""
"Other Disposal",""
"Other electronics industry",""
"Other emissions from energy production",""
"Other Fluorochemical Production",""
"Other fugitive emission",""
"Other Industrial Process and Product Use",""
"Other Iron and Steel Production",""
"Other Land",""
"Other LULUCF",""
"Other Manufacturing Industries and Constructions",""
"Other Metal Industry",""
"Other N2O from product use",""
"Other non energy products",""
"Other non pipeline transport",""
"Other Other Industrial Process and Product Use",""
"Other Other non energy products",""
"Other Other petrochemical production",""
"Other Other Sectors",""
"Other petrochemical production",""
"Other Process Uses of Carbonates",""
"Other Product Manufacture and Use",""
"Other Rice Cultivation","3C4"
"Other Road Transportation",""
"Other Sector",""
"Other Sectors",""
"Other Solid fuel operation",""
"Other transport of CO2",""
"Other Transportation",""
"Other unspecifed product manufacture and use",""
"Other unspecified uses of carbonates",""
"Other uses of Soda Ash",""
"Paraffin Wax Use",""
"Pellet",""
"Petrochemical and Carbon Black Production",""
"Petroleum Refining",""
"Photovoltaics",""
"Pig Iron",""
"Pipeline Transport",""
"Pipelines",""
"Prescribed Burning of Savannas",""
"Product Uses as Substitutes for ODS",""
"Public Electricity and Heat Production",""
"Pulp Paper and Print",""
"Railways",""
"Rainfed","3C2"
"Refrigeration and Air conditioning",""
"Residential",""
"Rice Cultivation","3C"
"Road Transportation",""
"Sectors/Totals",""
"Semi-aerobic",""
"Settlements",""
"SF6 and PFCs from Other Product Use",""
"Ships",""
"Silicon Carbide",""
"Single Aeration","3C1b1"
"Sinter",""
"Soda Ash Production",""
"Solid Fuel Transformation",""
"Solid Fuels",""
"Solid Waste Disposal",""
"Solvents",""
"Stationary Air-Conditioning",""
"Steel",""
"Storage",""
"Surface Mines",""
"TFT Flat Panel Display",""
"Titanium Dioxide Production",""
"Total (with LULUCF with indirect)","TOTLULUCF"
"Total (without LULUCF with indirect)","TOTnoLULUCF"
"Total A",""
"Total amount captured for storage",""
"Total amount of CO2 injected at storage sites",""
"Total amount of exports for storage",""
"Total amount of imports for storage",""
"Total B",""
"Total HWP from Domestic Harvest",""
"Total leakage from transport injection and storage",""
"Transport",""
"Transport of CO2",""
"Transport Refrigeration",""
"Uncategorized Waste Disposal Sites",""
"Underground Mines",""
"Unmanaged Waste Disposal Sites",""
"Urea Application","3H"
"Venting",""
"Venting and Flaring",""
"Waste Composting",""
