"","meastype","gas","unit","sector_number","category","method","classification","source","target","type","option","measure","party","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","variableUID","cursubm","years","value","min2006","max2006","ref2006","min1997","max1997","ref1997","min","median","max","mean","range","llim","ulim","correction","rellim","check","significant","effect","relmedian","lastyr","share","note"
"1","IEF","CH4","kg/head/year","3.A.4.3","Deer","","Enteric Fermentation","","","","","Implied emission factor","AUT","8","8","8","8","8","8","8","8","8","8","8","8","8","8","7.99999999999993","8.0000000000001","8.00000000000003","7.99999999999997","7.99999999999991",8.00000000000006,8,8,8,8,8,8,"8","8","8","42651688-EBD3-4176-98EA-C6E4511C1F03","20200315","all",8,"","","no defaults","","","no defaults",7.99999999999991,20,20.0000000130899,16.5502306080508,2.50000000163626,9.07232640000699,24.0281348160945,"",1.1,"outlier","0","0.000260559980709244","0.4","1","0.000104223992283697",""
"2","MASS","no gas","kg","3.B.1.1.1","Dairy Cattle","","CH4 Emissions","","","","","Typical animal mass (average)","AUT","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700",700,700,700,700,700,700,700,"700","700","700","eugirp3B111DairttleMASkg000000000no ","20200315","all",700,"","","no defaults","","","no defaults",430,588.959074290199,700,587.175822018831,1.62790697674419,500.582840648411,673.768803389252,"",1.31,"outlier","oversource","0.000459065809044713","1.18853759209606","1","0.00289394260969257",""
"3","MCF","no gas","","3.B.1.1.2","Non-Dairy Cattle","","Additional Information (for Tier 2)","Composting","Cool","Additional Information","","Methane conversion factor","AUT","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5",0.5,0.5,0.5,0.5,0.5,0.5,0.5,"0.5","0.5","0.5","eugirp3B112NonDttleMCF00000CoCoono ","20200315","all",0.5,"","","no defaults","","","no defaults",0,0,0.5,0.0833333333333333,Inf,-0.196981827860948,0.363648494527614,"",1.37,"outlier","0","no","0","0","no emissions reported",""
"4","YIELD","no gas","t dm/ha","3.F.1.1","Wheat","","Field Burning of Agricultural Residues","","","","","Biomass available","AUT","5.61193838573061","5.63201763686682","5.93197046522977","4.83486383313769","5.76405368799846","5.65213473936278","5.57691533494617","5.75372864136966","5.63177418190219","5.96930152662053","5.07041313369008","5.79178257635205","5.53946033561659","4.98579871188235","6.43215499833293","5.59425031256046","5.47989642998511","5.35696778925087","6.21654128111278",5.50036470841189,5.57829975737236,6.36849734430923,4.75993787020362,5.91753630940858,6.43132510487958,6.2194055703025,"6.74151032198343","5.44603974266414","5.27179897941764","372A779F-EE5A-4ADB-ACE6-51ED513106B2","20200315","2016",6.74151032198343,"","","","","","",0.3935743276895,4,6.9307671499,3.66510083553329,17.6098049651446,0.66786713037297,6.66233454069361,"rellim",1.03,"outlier","0","no","1.31794974485441","0","5.25951494554659e-07",""
"5","IEF","CH4","kg/t dm","3.F.5","Other Agricultural residues","","Field Burning of Agricultural Residues","","","","","Implied emission factor","AUT","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035","6.035",6.035,6.035,6.035,6.035,6.035,6.035,6.035,"6.035","6.035","6.035","9DF38B78-DDC5-4AAD-9814-D6B8DB2D8DBD","20200315","all",6.035,"","","","0.007","0.007","0.007, Table 4.16",2.43,3,6.035,3.50344194362163,2.48353909465021,1.66981809719267,5.33706579005058,"",1.3,"outlier","0","1.51322421380101e-06","2.01166666666667","1","3.00899773650381e-06",""
"6","PREGNANT","no gas","%","3.A.1.2","Non-Dairy Cattle","","Enteric Fermentation","","","Additional Information","","Pregnant","BEL","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80",80,80,80,80,80,80,80,"80","80","80","eugirp3A120NonDttlePRE%0000000000no ","20200315","all",80,"","","no defaults","","","no defaults",0,14.701475758698,90,26.7372541877356,Inf,-20.5383211605443,74.0128295360155,"",1.1,"outlier","0","no","0","0","no emissions reported",""
"7","IEF","N2O","kg/head/year","3.B.2.2","Other Sheep","","N2O and NMVOC Emissions","","","","","Implied emission factor","BEL","0.01733246130285","0.01738228234215","0.01741977180924","0.01734392475281","0.01721275614163","0.01747811265428","0.01520774922061","0.01528442648403","0.01526173454509","0.01493644780296","0.01801182302429","0.01744404021149","0.01758118185318","0.01802676429879","0.01764821110174","0.01742195360027","0.01741851393436","0.01743072732326","0.01683036144049",0.01686260865969,0.01714635793706,0.01673566226846,0.01700719849161,0.01719169436873,0.01695672575586,0.01737813598915,"0.01761877551642","0.01814907343196","0.01836775058325","0277F189-2E45-437F-AF91-C7BA857819EA","20200315","1996 1997 1998 1999",0.0151725895131725,"","","no defaults","","","no defaults",0.01493644780296,0.01737813598915,0.01836775058325,0.0171064560981279,1.22972682832996,0.0157951654103824,0.0184177467858735,"",1.39,"outlier","0","3.2361956191799e-07","1.0569459575364","0","6.00654379251164e-06",""
"8","NRATE","no gas","kg/head/year","3.B.2.2","Other Sheep","","N2O and NMVOC Emissions","","","","","Nitrogen excretion rate","BEL","10.828193540973","10.9280997902436","10.775102674729","10.7124730296229","10.716810028094","10.7123382177903","7.50373893356723","7.47881839894124","7.4452095756311","7.47679373848472","7.6633676304326","7.5611804656503","7.63833713862538","7.50243857390157","7.54089777434669","7.52638631278024","7.54457295487263","7.46056754180788","7.54811089616564",7.55099483680805,7.59595358198694,7.61744878365096,7.53791005652456,7.60596244372598,7.62448978548674,7.62383188650976,"7.62173841156361","7.60132206260012","7.59590392461252","202EF94C-881E-490D-A3FD-107700DD6719","20200315","1990 1991 1992 1993 1994 1995",10.7788362135755,"","","no defaults","","","no defaults",7.4452095756311,7.59595358198694,10.9280997902436,8.22548251690101,1.46780284412844,6.23220380050458,10.2187612332974,"",1.21,"outlier","0","6.00658305962152e-06","0.999993462654309","0","6.00654379251164e-06",""
"9","NRATE","no gas","kg/head/year","3.B.2.4.8.4","Fur-bearing Animals","","N2O and NMVOC Emissions","","","","","Nitrogen excretion rate","BEL","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","3.22","2.8740764292999","2.60853064488767",2.51735294117647,2.79388870086545,2.15965227952588,2.29992592421121,2.29992986762514,2.26722574887947,2.27628415529028,"2.08398210716665","2.28240813320981","2.29993831376264","1649E290-11AD-42C2-9776-F32149A79CC2","20200315","2011 2016",2.12181719334627,"","","","25","25","25, Table 4.20",1.62874802824554,4.6,11.0740282181357,4.65866064535454,6.7991046043288,2.20668457114006,7.11063671956903,"rellim",1.04,"outlier","0","4.12717033210037e-06","0.4999865899484","0","2.06352982048307e-06",""
"10","IEF","N2O","kg N2O-N/kg N","3.D.1.5","Mineralization of Soil Organic Matter","","Agricultural Soils","","","","","Implied emission factor","BEL","0.01202652034254","0.01202721863486","0.01202792351302","0.01202863507062","0.01202935340305","0.01203007860755","0.01203081078319","0.01203155003098","0.01203229645388","0.01203305015687","0.01203381124696","0.01203457983331","0.0120353560272","0.01203613994215","0.01203693169395","0.01203773140069","0.01203853918288","0.01203935516345","0.01204017946784",0.01204116403292,0.01203515479061,0.01203090101848,0.01202660257671,0.01202052058576,0.01201423053363,0.01200788543053,"0.01200235643025","0.01199677372934","0.01199367365857","0683A466-DDBB-466D-B6CC-123DF2221D91","20200315","all",0.0120275628876479,"","","","","","",0.00952711484937,0.01,0.01204116403292,0.0101287759533253,1.26388358105248,0.00938231755429077,0.0108752343523598,"",2.32,"outlier","0","2.67290632154239e-05","1.199367365857","1","0.000160798463693915",""
