categorysource,measuregas,unit,party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
4ALVST,EMGHG,GgCO2eq,AT,3753.345919,3698.377453,3544.255516,3542.654688,3546.97412,3613.62644,3555.645453,3492.759065,3466.497619,3436.748025,3416.881787,3370.078669,3301.138477,3269.809489,3269.548332,3228.625679,3217.910691,3230.726366,3223.987714,3265.346581,3256.23857,3214.661663,3192.732486
4ALVST,EMGHG,GgCO2eq,BE,4232.455387,4209.650549,4168.143243,4215.106181,4209.636318,4254.66822,4175.430979,4130.866961,4095.44445,4106.21134,3980.72823,3984.671686,3850.822399,3721.68101,3696.703786,3643.715114,3609.600909,3685.979377,3651.107519,3663.986287,3678.838726,3618.582871,3561.364568
4ALVST,EMGHG,GgCO2eq,BG,3810.566863,3665.197895,3412.965654,2874.9923,2288.748457,1930.463841,1835.342162,1780.551632,1736.746063,1798.196899,1747.918634,1505.521825,1554.30249,1612.237759,1586.454651,1540.615142,1498.995985,1413.229776,1386.924391,1318.703019,1286.402156,1309.570652,1272.647697
4ALVST,EMGHG,GgCO2eq,CY,161.4110092,163.78564,164.7460048,171.1598833,173.7367605,180.3714813,183.7494108,180.1219559,173.8252047,173.3037385,178.3745539,193.3548551,204.3106485,195.7599583,194.4966673,182.1696879,175.1626578,178.3064873,179.2637891,178.8579241,187.3338613,191.9574146,193.433081
4ALVST,EMGHG,GgCO2eq,CZ,4219.416341,3980.041884,3567.800786,3088.191996,2704.549093,2631.896179,2608.13274,2435.695792,2284.039621,2333.701516,2240.994976,2256.839711,2209.47828,2185.931109,2138.637933,2094.179292,2064.229101,2083.565575,2102.948541,2047.117437,1998.768097,2002.902455,2026.884522
4ALVST,EMGHG,GgCO2eq,DE,29594.33058,26190.85275,25343.70622,25182.08782,25069.89481,25094.87817,25049.8991,24281.06185,23879.11384,23872.67417,23264.46353,23500.84586,22590.27434,22222.27023,21603.19183,21450.2079,20936.39152,20932.9772,21321.37385,21342.92637,21156.07628,20852.59395,20832.65444
4ALVST,EMGHG,GgCO2eq,DK,3246.929807,3251.399828,3211.927352,3237.455526,3144.321754,3133.54792,3113.044422,3017.190519,3004.214592,2890.853968,2861.169182,2910.731616,2871.649386,2833.037538,2752.817757,2736.915394,2739.838436,2804.938828,2830.300536,2822.728469,2861.967019,2840.244274,2903.793062
4ALVST,EMGHG,GgCO2eq,EE,1017.013817,953.0340916,828.5645745,654.7835181,591.1020034,522.3991016,496.4938275,491.1574875,475.68848,410.1497749,403.3246957,417.9181245,394.1220754,401.5942656,406.262167,409.2639569,410.5199275,403.39266,404.8121836,398.8601083,405.5051887,410.6730602,423.5348237
4ALVST,EMGHG,GgCO2eq,ES,12046.18008,12077.44887,11910.30765,11878.67116,11819.60623,11685.56458,12575.31905,12362.27243,12495.24392,12640.79299,12772.2963,13018.05666,13003.68202,13144.84474,12697.98813,12459.46515,12351.50365,12549.18631,12024.49244,11956.73407,11699.19068,11245.34191,10896.17298
4ALVST,EMGHG,GgCO2eq,FI,1831.883033,1759.14564,1697.99262,1710.541598,1712.175007,1620.312889,1622.911815,1646.25307,1612.046233,1587.974535,1598.068418,1580.339967,1597.913842,1581.569682,1569.350651,1558.065244,1557.902558,1541.310843,1528.071459,1543.337383,1575.723449,1558.047536,1544.052432
4ALVST,EMGHG,GgCO2eq,FR,30741.46068,30228.1889,29831.02588,29586.30505,29700.02269,29885.53112,29837.32406,29520.03392,29346.09833,29339.72559,30519.30548,30551.59611,29974.64495,29142.19046,28760.20416,28688.4551,28764.0257,28989.88091,29371.87141,29057.47818,28916.64358,28439.03584,28200.88773
4ALVST,EMGHG,GgCO2eq,GB,18774.7701,18519.35114,18528.63393,18499.6701,18615.4406,18443.48947,18685.97403,18441.61513,18498.38183,18518.23675,17867.6067,16869.75104,16589.86058,16698.35173,16795.81848,16585.24292,16451.75848,16133.50018,15775.33175,15496.6703,15570.91267,15491.79459,15463.93433
4ALVST,EMGHG,GgCO2eq,GR,3246.280504,3223.259274,3205.255783,3167.938538,3166.94067,3183.265148,3215.531088,3216.276597,3240.056001,3242.789969,3240.58404,3237.741383,3272.387522,3277.301565,3278.456951,3286.045328,3279.506746,3267.184773,3238.273013,3230.647961,3223.841281,3224.065508,3201.056312
4ALVST,EMGHG,GgCO2eq,HR,1241.91959,1138.744966,904.7274502,881.0730589,796.6447343,760.5356111,724.8430235,721.8735595,712.9098492,710.8958509,700.8041554,719.191221,711.2883258,744.2259538,774.05927,808.8699697,824.0469459,800.1520663,826.2744219,816.3098268,808.9024417,804.588921,808.7345318
4ALVST,EMGHG,GgCO2eq,HU,3006.292634,2815.239221,2441.134021,2065.199604,1822.33345,1780.175341,1777.694825,1736.190301,1726.159584,1746.007166,1721.769126,1654.747566,1635.345587,1618.526303,1572.505487,1552.136868,1508.110323,1510.596046,1490.789844,1469.033584,1454.222141,1453.262484,1502.244619
4ALVST,EMGHG,GgCO2eq,IE,9574.120339,9659.366531,9746.414797,9727.2608,9667.313714,9678.723314,9939.441079,10139.51235,10266.82303,9947.63433,9494.885027,9422.514962,9302.641343,9267.576719,9256.216887,9031.406879,9049.365537,8904.747193,8874.36459,8737.510533,8541.60093,8460.005143,8811.206596
4ALVST,EMGHG,GgCO2eq,IT,12278.49767,12537.29963,12152.73038,12024.23415,12128.09183,12347.56214,12426.5873,12457.81521,12374.67972,12512.13101,12246.02292,11423.06968,11107.40144,11134.00842,10907.60982,10914.38872,10699.09119,11098.7423,10995.60092,11006.94229,10731.96998,10753.37307,10667.4849
4ALVST,EMGHG,GgCO2eq,LT,3226.545677,3041.619045,2371.996938,1974.401279,1693.078647,1592.086061,1592.441378,1641.56536,1440.313397,1355.202784,1193.923797,1221.378087,1259.788435,1302.535966,1284.907887,1289.778602,1331.925107,1362.847731,1332.06623,1264.284706,1225.680067,1200.810592,1185.101491
4ALVST,EMGHG,GgCO2eq,LU,261.3753615,260.6732698,250.0879123,252.0300557,249.8363425,256.9149759,260.1140825,254.8633985,252.1930315,251.9207509,248.7321196,249.9714515,242.8482519,235.6328531,233.2275227,232.8377722,230.64551,239.0254488,244.2099576,246.2649149,251.0989618,244.2985117,239.3407533
4ALVST,EMGHG,GgCO2eq,LV,2148.742536,2054.647788,1691.244501,1054.03375,893.8030235,872.0518926,830.788278,817.6095413,755.3356127,653.3306794,644.8423919,678.5516372,674.0317738,670.9636882,648.857698,670.3594532,662.0239133,692.5835781,667.960514,662.5100733,666.4273862,668.3611733,687.5803781
4ALVST,EMGHG,GgCO2eq,MT,33.70433934,33.45051234,33.88576884,34.00485984,33.77862684,35.75571384,35.31984834,35.67274284,35.02164834,34.88836134,37.66969584,36.11237112,36.38573022,35.06939562,36.82197162,36.49567152,35.17265052,35.96800242,33.70828692,31.81896942,29.57894184,28.774893,29.235822
4ALVST,EMGHG,GgCO2eq,NL,7647.608424,7800.348516,7741.679887,7597.858621,7388.439641,7381.080159,7137.895762,6961.461589,6835.841891,6782.715976,6575.50306,6656.008697,6325.800001,6347.833849,6369.560958,6330.011352,6359.343954,6435.010805,6554.524491,6588.937514,6629.721811,6541.754895,6554.505397
4ALVST,EMGHG,GgCO2eq,PL,16303.86766,14554.82113,13308.50283,12261.32322,12102.91741,11446.36993,11099.72254,11347.27971,11035.19791,10445.19813,9717.917001,9342.690756,9067.859162,9017.412952,8761.535126,8945.481467,9164.339778,9301.375475,9303.811825,9200.469309,9227.178255,9268.817105,9323.899944
